Date,Open,High,Low,Close,Volume,Adj Close
2014-12-29,208.22,208.97,205.39,205.53999,94506100,204.62659
2014-12-22,206.75,208.85001,206.46001,208.44,92694200,207.5137
2014-12-15,201.98,212.97,197.86,206.52,239225800,205.60223
2014-12-08,207.52,208.12,200.85001,200.89,149974500,198.89949
2014-12-01,206.39999,208.47,205.38,208.00,85295500,205.93904
2014-11-24,207.17,207.87,206.80,207.20,66201800,205.14697
2014-11-17,203.85001,207.84,203.64999,206.67999,90809800,204.63211
2014-11-10,203.38,204.83,203.13,204.24001,75342800,202.21631
2014-11-03,201.92,203.60001,200.06,203.34,95083000,201.32521
2014-10-27,195.73,201.82001,195.03,201.66,118399900,199.66187
2014-10-20,188.13,196.49001,188.07001,196.42999,141930600,194.48367
2014-10-13,190.46001,191.14999,181.92,188.47,262503400,186.60255
2014-10-06,197.34,197.60001,190.49001,190.53999,174353200,188.65204
2014-09-29,196.20,198.30,192.35001,196.52,136613200,194.5728
2014-09-22,200.35001,200.38,196.27,197.89999,119613800,195.93912
2014-09-15,199.16,201.89999,198.38,200.70,112101400,198.71138
2014-09-08,200.92,201.21001,198.56,199.13,80848200,196.23964
2014-09-02,200.97,201.58,199.41,201.11,79325200,198.19089
2014-08-25,200.14,200.82001,199.14999,200.71001,56652800,197.79671
2014-08-18,196.80,199.75999,196.69,199.19,70244000,196.29877
2014-08-11,193.97,196.64999,192.94,195.72,82909000,192.87914
2014-08-04,192.87,194.30,190.55,193.24001,118319000,190.43513
2014-07-28,197.75999,198.45,191.57001,192.50,125337400,189.70587
2014-07-21,197.09,199.06,196.42999,197.72,66921400,194.8501
2014-07-14,197.61,198.25999,195.42999,197.71001,103953200,194.84026
2014-07-07,197.82001,197.98,195.06,196.61,81222800,193.75621
2014-06-30,195.70,198.28999,195.53,198.20,66596900,195.32312
2014-06-23,195.99001,196.50,194.13,195.82001,81077400,192.97768
2014-06-16,193.89,196.60001,193.66,195.94,92808200,193.09593
2014-06-09,195.35001,196.05,193.11,194.13,75877400,190.39986
2014-06-02,192.95,195.42999,191.97,195.38,71206200,191.62584
2014-05-27,191.06,192.80,190.95,192.67999,69856500,188.97771
2014-05-19,187.69,190.48,187.07001,190.35001,77443500,186.69249
2014-05-12,188.80,190.42,186.48,188.05,95635000,184.43668
2014-05-05,187.14,189.05,186.00999,187.96001,89026800,184.34842
2014-04-28,187.05,189.14,184.96001,188.06,102373600,184.44649
2014-04-21,186.44,188.39999,185.87,186.28999,83307600,182.71049
2014-04-14,182.92999,186.91,181.44,186.39,124981700,182.80858
2014-04-07,185.95,187.17,181.31,181.50999,138785400,178.02234
2014-03-31,186.67,189.70,185.52,186.39999,102905600,182.81837
2014-03-24,186.84,187.34,183.89999,185.49001,117826200,181.92587
2014-03-17,185.59,189.02,185.47,186.20,131360000,182.62222
2014-03-10,187.97,188.71001,184.44,184.66,117541300,180.31599
2014-03-03,184.64999,188.96001,183.75,188.25999,124140200,183.83128
2014-02-24,184.28,187.14999,184.20,186.28999,114909700,181.90764
