Date,Open,High,Low,Close,Volume,Adj Close
2014-12-29,16.04,19.91,15.06,19.20,000,19.20
2014-12-22,16.32,16.88,14.01,14.50,000,14.50
2014-12-15,19.59,25.20,16.07,16.49,000,16.49
2014-12-08,13.05,23.06,12.55,21.08,000,21.08
2014-12-01,14.16,14.75,11.53,11.89,000,11.89
2014-11-24,12.92,13.49,11.91,13.33,000,13.33
2014-11-17,14.70,15.74,12.90,12.90,000,12.90
2014-11-10,13.16,14.31,12.38,13.31,000,13.31
2014-11-03,14.41,15.93,13.01,13.12,000,13.12
2014-10-27,17.24,17.87,13.72,14.03,000,14.03
2014-10-20,22.11,22.16,15.56,16.11,000,16.11
2014-10-13,21.16,31.06,20.23,21.99,000,21.99
2014-10-06,14.46,22.06,14.05,21.24,000,21.24
2014-09-29,16.96,17.98,14.44,14.55,000,14.55
2014-09-22,13.14,16.69,13.13,14.85,000,14.85
2014-09-15,13.54,14.53,11.52,12.11,000,12.11
2014-09-08,12.64,14.27,12.40,13.31,000,13.31
2014-09-02,12.32,13.41,11.70,12.09,000,12.09
2014-08-25,11.58,12.73,11.24,12.09,000,12.09
2014-08-18,12.85,13.51,11.47,11.47,000,11.47
2014-08-11,15.16,15.16,11.89,13.15,000,13.15
2014-08-04,16.64,17.30,14.69,15.77,000,15.77
2014-07-28,12.93,17.57,12.12,17.03,000,17.03
2014-07-21,12.85,13.62,11.41,12.69,000,12.69
2014-07-14,11.60,15.38,10.59,12.06,000,12.06
2014-07-07,11.15,13.23,11.01,12.08,000,12.08
2014-06-30,11.75,11.81,10.28,10.32,000,10.32
2014-06-23,11.26,12.51,10.87,11.26,000,11.26
2014-06-16,12.65,12.89,10.34,10.85,000,10.85
2014-06-09,11.23,12.81,10.93,12.18,000,12.18
2014-06-02,11.69,12.34,10.73,10.73,000,10.73
2014-05-27,11.69,11.86,11.32,11.40,000,11.40
2014-05-19,13.17,13.30,11.36,11.36,000,11.36
2014-05-12,12.46,13.77,11.88,12.44,000,12.44
2014-05-05,13.95,14.49,12.87,12.92,000,12.92
2014-04-28,14.27,15.28,12.83,12.91,000,12.91
2014-04-21,14.10,14.67,12.90,14.06,000,14.06
2014-04-14,16.14,17.50,13.07,13.36,000,13.36
2014-04-07,14.96,17.85,13.70,17.03,000,17.03
2014-03-31,13.88,14.55,12.60,13.96,000,13.96
2014-03-24,14.70,16.07,13.46,14.41,000,14.41
2014-03-17,16.39,16.40,13.77,15.00,000,15.00
2014-03-10,14.76,18.22,13.84,17.82,000,17.82
2014-03-03,16.47,16.78,13.51,14.11,000,14.11
2014-02-24,14.83,14.83,13.49,14.00,000,14.00
2014-02-18,13.95,15.80,13.77,14.68,000,14.68
2014-02-10,15.63,15.76,13.44,13.57,000,13.57
2014-02-03,18.57,21.48,15.09,15.31,000,15.31
2014-01-27,17.29,18.99,15.80,18.41,000,18.41
2014-01-21,12.63,18.00,12.55,17.88,000,17.88
2014-01-13,12.18,13.65,11.81,12.44,000,12.44
2014-01-06,13.41,14.00,12.14,12.14,000,12.14
2013-12-30,12.87,14.59,12.83,13.76,000,13.76
2013-12-23,13.37,13.53,11.69,12.46,000,12.46
2013-12-16,15.64,16.75,12.89,13.79,000,13.79
2013-12-09,13.97,16.09,13.49,15.76,000,15.76
2013-12-02,13.91,15.71,13.62,13.79,000,13.79
2013-11-25,12.55,13.78,12.44,13.70,000,13.70
2013-11-18,12.41,13.94,12.24,12.26,000,12.26
2013-11-11,12.85,13.35,11.99,12.19,000,12.19
2013-11-04,13.35,14.14,12.67,12.90,000,12.90
2013-10-28,13.62,14.33,13.06,13.28,000,13.28
2013-10-21,13.34,14.21,12.93,13.09,000,13.09
2013-10-14,17.08,18.67,12.34,13.04,000,13.04
2013-10-07,18.76,21.34,15.46,15.72,000,15.72
2013-09-30,17.49,18.71,15.47,16.74,000,16.74
2013-09-23,14.04,15.79,13.58,15.46,000,15.46
2013-09-16,14.10,14.68,12.52,13.12,000,13.12
2013-09-09,15.86,16.02,13.73,14.16,000,14.16
2013-09-03,16.47,17.37,15.17,15.85,000,15.85
2013-08-26,14.37,17.81,13.90,17.01,000,17.01
2013-08-19,14.94,16.56,14.02,14.06,000,14.06
2013-08-12,13.52,14.88,12.29,14.37,000,14.37
2013-08-05,12.29,13.91,11.83,13.41,000,13.41
2013-07-29,13.54,14.14,11.98,11.98,000,11.98
2013-07-22,13.23,13.73,12.07,12.72,000,12.72
2013-07-15,13.98,14.56,12.54,12.54,000,12.54
2013-07-08,14.66,15.27,13.57,13.84,000,13.84
2013-07-01,16.90,17.32,14.89,14.89,000,14.89
2013-06-24,20.87,21.91,16.19,16.86,000,16.86
2013-06-17,16.53,21.32,15.36,18.90,000,18.90
2013-06-10,15.16,18.60,15.10,17.15,000,17.15
2013-06-03,16.40,18.51,14.96,15.14,000,15.14
2013-05-28,13.67,16.35,13.56,16.30,000,16.30
2013-05-20,13.28,15.11,12.84,13.99,000,13.99
2013-05-13,12.57,13.46,12.26,12.45,000,12.45
2013-05-06,13.06,13.53,12.49,12.59,000,12.59
2013-04-29,13.72,14.67,12.77,12.85,000,12.85
2013-04-22,15.08,16.00,13.13,13.61,000,13.61
2013-04-15,13.12,18.20,12.66,14.97,000,14.97
2013-04-08,14.04,14.50,11.99,12.06,000,12.06
2013-04-01,13.46,15.65,12.62,13.92,000,13.92
2013-03-25,12.85,14.61,12.39,12.70,000,12.70
2013-03-18,13.47,15.40,12.30,13.57,000,13.57
2013-03-11,12.31,12.93,11.05,11.30,000,11.30
2013-03-04,16.16,16.16,12.49,12.59,000,12.59
2013-02-25,13.69,19.28,13.57,15.36,000,15.36
2013-02-19,12.81,16.21,12.08,14.17,000,14.17
2013-02-11,13.37,13.42,12.24,12.46,000,12.46
2013-02-04,14.00,14.75,12.89,13.02,000,13.02
2013-01-28,13.29,14.43,12.72,12.90,000,12.90
2013-01-22,13.28,13.50,12.30,12.89,000,12.89
2013-01-14,13.66,13.99,12.29,12.46,000,12.46
2013-01-07,14.53,14.53,13.22,13.36,000,13.36
2012-12-31,22.14,22.72,13.64,13.83,000,13.83
2012-12-24,18.46,21.98,17.84,21.79,000,21.79
2012-12-17,17.20,19.93,15.46,17.84,000,17.84
2012-12-10,16.47,17.15,15.41,16.99,000,16.99
2012-12-03,15.81,17.53,15.73,15.87,000,15.87
2012-11-26,15.63,16.98,14.89,15.87,000,15.87
2012-11-19,15.88,15.98,14.77,15.14,000,15.14
2012-11-12,18.15,18.64,15.93,16.41,000,16.41
2012-11-05,18.33,19.40,17.19,18.61,000,18.61
2012-10-31,17.68,18.84,16.05,17.59,000,17.59
2012-10-22,17.44,19.65,16.62,17.81,000,17.81
2012-10-15,16.05,17.60,14.50,16.97,000,16.97
2012-10-08,15.19,16.79,14.96,16.14,000,16.14
2012-10-01,16.03,16.53,13.67,14.33,000,14.33
2012-09-24,15.06,17.08,13.87,15.73,000,15.73
2012-09-17,14.67,14.92,13.61,13.98,000,13.98
